Date,S&P,SAP,Google
2016-02-24,1929.800049,74.758138,720.900024
2016-02-23,1921.27002,75.495592,717.289978
2016-02-22,1945.5,76.301875,729.049988
2016-02-19,1917.780029,76.331372,722.1099849999999
2016-02-18,1917.8299559999998,75.466095,717.51001
2016-02-17,1926.819946,75.48575699999999,731.969971
2016-02-16,1895.5799559999998,74.472989,717.6400150000001
2016-02-12,1864.780029,72.447452,706.8900150000001
2016-02-11,1829.0799559999998,73.047248,706.3599849999999
2016-02-10,1851.859985,73.696203,706.849976
2016-02-09,1852.209961,73.627375,701.02002
2016-02-08,1853.439941,73.06691,704.159973
2016-02-05,1880.050049,74.13868000000001,703.76001
2016-02-04,1915.449951,76.92134,730.030029
2016-02-03,1912.530029,77.74728499999999,749.380005
2016-02-02,1903.030029,76.410035,780.909973
2016-02-01,1939.380005,78.366743,770.77002
